ID,NAME,HEALTH,DAMAGE,RANGE,SPEED,LOS
13423,lorli,2,3,2,9,2
13424,lormor,5,4,3,1,2
13425,lorna,5,4,1,9,7
13426,lorne,5,7,1,8,8
13427,loro,4,9,1,6,10
13428,lorrain,10,2,1,10,2
13429,lorraine,9,7,1,1,2
13430,lorrel,6,3,3,2,6
13431,lorri,9,4,2,7,1
13432,lorrie,10,1,2,4,10
13433,lorrin,2,9,1,6,10
13434,lorry,3,5,1,8,1
13435,lortie,8,1,3,1,6
13436,lory,5,2,1,7,10
13437,loryn,7,6,3,9,5
13438,los,6,4,1,4,5
13439,losfeld,9,8,1,9,1
13440,losier,4,9,3,7,3
13441,loso,4,5,1,7,4
13442,losses,3,6,2,6,9
13443,lotan,2,3,3,6,10
13444,lote,2,1,2,2,4
13445,lotfalia,1,6,2,2,5
13446,lotfi,4,5,1,7,5
13447,lothario,10,5,2,1,3
13448,lotochin,5,9,1,7,7
13449,lott,1,2,1,7,8
13450,lotta,6,6,3,3,8
13451,lotte,9,3,1,5,9
13452,lotti,4,7,2,7,5
13453,lottie,2,8,3,5,10
13454,lotty,9,2,3,10,1
13455,lotz,2,6,1,10,6
13456,lou,6,4,1,1,6
13457,lou-hell,5,4,2,3,2
13458,louann,3,2,3,9,9
13459,loucel,3,9,2,5,1
13460,loudiadi,10,8,1,7,1
13461,louella,2,10,2,5,5
13462,lough,2,6,2,1,8
13463,loughery,8,10,3,1,5
13464,loughran,10,1,2,7,7
13465,loughrin,3,4,1,3,2
13466,louhelle,5,5,3,2,5
13467,louie,4,4,2,7,7
13468,louiqa,9,3,1,10,7
13469,louis,5,3,3,6,8
13470,louis-ph,10,1,2,1,4
13471,louis-re,7,1,3,2,9
13472,louisa,6,10,3,5,4
13473,louise,9,7,2,3,6
13474,louisett,7,9,3,4,7
13475,louissei,2,6,3,7,10
13476,louk,3,3,1,10,8
13477,louka,6,8,2,4,1
13478,loukas,6,9,1,4,7
13479,lourdes,10,2,3,7,2
13480,loutitia,3,5,2,2,9
13481,loux,10,6,2,2,8
13482,lovatt,7,1,3,10,5
13483,loveday,2,4,2,8,10
13484,lovegrov,1,7,1,7,1
13485,lovejoy,6,3,2,3,9
13486,lovekin,6,9,1,4,5
13487,lovelace,4,1,3,5,5
13488,loveless,5,4,1,9,8
13489,lovell,7,7,2,1,6
13490,lovin,2,6,1,5,3
13491,lovina,10,9,2,1,2
13492,lowder,3,1,2,3,4
13493,lowe,8,2,1,7,7
13494,lowell,7,9,2,3,9
13495,lowery,3,9,3,1,9
13496,lowman,2,2,1,4,8
13497,lowrance,6,4,1,4,3
13498,lowrie,5,7,2,5,8
13499,lowry,7,10,2,1,9
13500,lowther,6,5,3,3,3
13501,loy,1,5,1,7,7
13502,loyd,5,5,2,5,1
13503,loydie,10,2,3,3,7
13504,loyer,4,10,1,6,4
13505,loyola,1,7,3,7,10
13506,loyst,7,7,2,9,4
13507,loza,10,7,3,9,1
13508,lozier,5,6,3,9,1
13509,lrc,4,1,1,7,9
13510,lrcrich,8,6,1,2,3
13511,lrcrtp,10,5,3,2,2
13512,lsi,1,4,3,6,6
13513,lsiunix,8,2,2,3,6
13514,lu,5,9,3,7,6
13515,luan,3,1,1,10,9
13516,luann,3,2,3,6,1
13517,luanne,3,3,3,8,8
13518,lubliner,9,4,2,10,3
13519,lubna,9,3,1,3,2
13520,lubomir,3,1,1,3,6
13521,lubomyr,10,6,2,7,1
13522,luc,7,1,2,6,6
13523,luca,2,6,3,3,6
13524,lucais,10,1,3,1,2
13525,lucas,9,3,1,10,4
13526,lucco,4,6,2,1,1
13527,lucente,7,4,2,6,1
13528,lucey,4,9,3,1,9
13529,lucho,9,1,2,5,5
13530,lucia,7,10,3,5,6
13531,lucian,8,7,3,2,3
13532,luciana,8,7,2,1,7
13533,luciani,1,3,1,4,6
13534,luciano,1,3,1,3,9
13535,lucias,9,1,1,3,10
13536,lucie,6,6,1,4,9
13537,lucien,3,9,2,9,7
13538,lucienne,5,9,2,5,9
13539,lucifer,3,7,2,3,10
13540,lucila,3,5,3,2,2
13541,lucile,5,1,3,6,5
13542,lucilia,5,4,2,7,9
13543,lucina,8,5,1,6,2
13544,lucine,7,2,2,3,8
13545,lucio,6,9,1,4,3
13546,lucita,5,1,3,2,6
13547,lucius,8,7,1,1,5
13548,lucking,2,3,2,8,5
13549,lucky,2,2,1,4,1
13550,lucretia,3,9,3,9,4
13551,lucy,2,4,3,5,2
13552,ludchen,3,10,3,2,1
13553,ludovico,8,1,1,5,9
13554,ludovika,4,1,1,6,6
13555,ludvikse,7,6,3,2,6
13556,ludwick,3,4,1,3,6
13557,ludwig,8,8,2,6,5
13558,lue,9,8,2,8,3
13559,luella,8,1,3,2,6
13560,luetchfo,4,7,3,9,2
13561,luetke,2,5,2,8,5
13562,luettcha,6,5,2,9,4
13563,luff,8,6,2,5,1
13564,lugsdin,8,3,2,2,10
13565,lugwig,7,9,2,5,4
13566,luh-maan,4,8,1,3,3
13567,luhcs,2,7,3,8,5
13568,luhmaan,5,3,2,10,7
13569,lui,2,8,1,3,9
13570,luigi,9,2,2,3,2
13571,luin,6,5,1,9,8
13572,luis,9,2,1,3,9
13573,luisa,10,2,3,6,4
13574,luise,10,1,3,6,3
13575,luiza,4,8,1,4,7
13576,lujanka,7,9,1,5,6
13577,luk,3,8,2,4,2
13578,luk-shun,7,10,2,8,2
13579,lukassen,6,7,1,3,8
13580,lukaszew,4,7,3,7,9
13581,luke,6,9,1,1,2
13582,luker,8,1,3,9,9
13583,lukers,4,6,2,5,9
13584,lukic,5,9,2,1,9
13585,lukie,10,7,2,10,1
13586,lukshis,1,4,2,10,1
13587,lula,2,3,1,10,10
13588,lulita,9,5,3,3,5
13589,lulu,5,5,1,5,3
13590,lum,3,7,3,8,9
13591,lum-wah,1,10,2,3,7
13592,lumley,4,6,1,8,7
13593,lumsden,2,10,2,9,5
13594,lun,4,4,1,8,4
13595,luna,5,4,3,6,1
13596,lund,6,4,3,4,6
13597,lunde,9,7,1,8,3
13598,lundhild,7,1,1,9,10
13599,lundstro,4,3,2,4,7
13600,lundy,5,8,2,7,2
13601,luoedora,3,3,3,3,7
13602,luong,4,7,3,4,8
13603,lupatin,9,3,3,10,1
13604,lupher,5,8,3,5,10
13605,lupien,8,7,1,5,7
13606,luping,4,1,1,7,9
13607,luquire,4,8,2,10,6
13608,lura,1,9,2,6,8
13609,lurette,4,3,2,1,10
13610,luria,2,10,2,9,4
13611,lurleen,10,7,2,4,4
13612,lurlene,2,8,1,2,9
13613,lurline,6,9,1,4,9
13614,lusa,3,9,2,8,10
13615,luscombe,8,10,1,8,1
13616,lussier,1,9,1,3,8
13617,luszczek,3,9,3,3,7
13618,lutan,3,1,2,10,4
13619,lutero,5,1,3,3,5
13620,luther,8,5,2,5,3
13621,lutz,1,3,1,4,8
13622,luu,1,8,1,6,1
13623,luuk,7,3,2,2,8
13624,luwemba,4,9,1,8,9
13625,luxford,9,5,1,7,6
13626,luying,9,8,2,3,2
13627,luz,5,2,3,2,7
13628,luzarrag,7,4,2,10,5
13629,luzine,10,1,2,4,8
13630,ly,8,7,1,4,7
13631,ly-khanh,1,7,1,4,7
13632,lyall,3,7,3,1,7
13633,lychak,1,3,1,4,10
13634,lyda,6,3,1,5,4
13635,lydda-ju,8,8,2,2,1
13636,lydia,9,7,1,4,8
13637,lydie,1,7,3,1,6
13638,lydon,8,6,2,8,6
13639,lyell,8,5,1,8,5
13640,lyle,9,7,1,1,6
13641,lyliston,7,10,2,3,5
13642,lyman,2,9,1,10,9
13643,lyn,6,2,1,9,3
13644,lynda,3,10,1,5,9
13645,lyndal,6,4,3,5,8
13646,lynde,4,5,3,5,4
13647,lyndel,9,6,3,3,9
13648,lyndell,10,10,2,5,1
13649,lyndia,5,7,1,3,4
13650,lyndon,5,1,2,10,1
13651,lyndsay,8,7,2,9,2
13652,lyndsey,5,5,1,9,6
13653,lyndsie,3,7,3,9,6
13654,lyndy,3,7,3,1,1
13655,lyne,3,4,1,3,8
13656,lynea,5,4,1,5,7
13657,lynett,8,1,2,8,2
13658,lynetta,3,5,1,9,4
13659,lynette,1,4,1,1,5
13660,lynham,1,1,3,10,3
13661,lynn,1,9,1,3,2
13662,lynna,10,1,1,5,7
13663,lynne,6,8,3,6,2
13664,lynnea,2,2,3,9,7
13665,lynnell,10,4,1,8,5
13666,lynnelle,6,9,1,6,7
13667,lynnet,2,3,3,9,6
13668,lynnett,6,2,3,8,6
13669,lynnette,6,1,2,8,6
13670,lynsey,1,5,3,3,6
13671,lynton,4,10,3,3,6
13672,lynwood,4,6,2,8,8
13673,lyon,1,5,3,9,1
13674,lyons,3,8,1,1,3
13675,lyse,7,7,1,4,5
13676,lysinger,2,5,3,10,7
13677,lyssa,10,5,2,10,1
13678,lystad,3,7,3,1,2
13679,lystiuk,6,9,2,2,6
13680,lystuik,8,2,3,3,4
13681,lysy,8,9,2,4,2
13682,lytle,2,5,1,3,7
13683,lzrd,2,4,1,3,10
13684,maala,4,2,3,2,1
13685,maan,1,8,3,8,5
13686,maarten,6,3,2,10,9
13687,maas,4,5,1,10,3
13688,mab,10,7,3,1,8
13689,mabel,3,2,2,7,8
13690,mabelle,5,1,2,9,6
13691,mabes,4,4,2,5,7
13692,mable,2,2,2,8,3
13693,mabson,6,4,1,2,5
13694,mac,1,3,2,8,2
13695,mac,1,2,1,7,9
13696,maid,6,3,3,3,1
13697,macarthu,5,3,3,10,10
13698,macbride,4,8,2,4,9
13699,maccallu,3,9,2,2,5
13700,maccarth,2,7,3,9,8
13701,macchius,8,2,3,1,10
13702,maccombi,8,5,2,1,7
13703,macconai,5,6,1,4,9
13704,maccorma,2,4,3,4,2
13705,macderma,8,8,3,2,4
13706,macdonal,2,3,3,8,1
13707,macdowal,5,6,1,3,1
13708,macelwee,10,9,1,7,3
13709,macfarla,6,1,2,1,6
13710,macgilli,5,2,2,2,8
13711,macgrego,3,8,1,7,7
13712,mach,2,8,1,8,10
13713,machan,2,4,1,7,8
13714,machatti,2,6,3,2,2
13715,machika,4,9,1,8,1
13716,machnick,4,2,1,10,2
13717,maciejew,2,9,1,10,2
13718,maciel,8,9,1,1,10
13719,macinnes,1,6,2,5,10
13720,macinnis,8,3,1,10,9
13721,macisaac,6,4,1,8,6
13722,maciver,3,5,1,1,6
13723,mack,8,3,1,7,10
13724,mackay,5,8,2,8,5
13725,mackel,5,10,2,4,10
13726,mackenzi,5,4,2,5,6
13727,mackey,4,4,1,1,2
13728,mackin,1,4,2,4,4
13729,mackinno,8,9,3,8,2
13730,macklin,3,4,1,10,10
13731,mackzum,6,9,1,3,8
13732,maclaren,6,8,3,3,10
13733,maclauri,6,5,3,10,7
13734,maclean,5,3,3,2,9
13735,maclella,7,2,1,8,5
13736,maclenna,9,8,3,3,6
13737,macleod,6,1,1,3,1
13738,macmarti,6,6,3,1,6
13739,macmeeki,8,3,1,5,7
13740,macmilla,3,1,3,8,8
13741,macmulli,4,5,2,4,2
13742,macnaugh,2,4,1,5,6
13743,macneil,2,9,1,6,4
13744,macneill,8,3,2,3,9
13745,macnicol,10,3,2,1,8
13746,macoosh,10,2,1,3,5
13747,macphail,4,5,1,9,6
13748,macphers,4,4,2,8,8
13749,macpost,10,3,3,2,4
13750,macquist,9,6,2,2,4
13751,macrae,3,1,1,9,10
13752,macsuppo,5,9,3,3,5
13753,mada,3,3,3,3,1
13754,madalene,5,1,3,4,4
13755,madalyn,4,1,1,2,3
13756,madan,5,7,1,7,3
13757,madani,1,6,3,6,4
13758,maddalen,4,7,3,3,9
13759,maddi,7,2,3,4,5
13760,maddix,6,2,3,1,7
13761,maddox,6,3,3,4,1
13762,madel,10,1,1,4,10
13763,madelain,3,2,3,6,5
13764,madelena,1,7,2,10,7
13765,madelene,2,8,1,2,7
13766,madelin,9,6,2,1,5
13767,madelina,8,9,1,2,4
13768,madeline,9,4,2,2,2
13769,madella,3,6,3,10,7
13770,madelle,5,2,3,1,8
13771,madelon,7,9,3,4,4
13772,madelyn,8,5,1,4,2
13773,mader,5,3,1,1,7
13774,madge,8,10,1,4,8
13775,madgett,9,5,1,2,10
13776,madhav,4,6,1,5,8
13777,madhavan,6,7,2,7,4
13778,madhu,1,10,3,1,2
13779,madigan,2,9,1,8,10
13780,madill,1,5,3,10,4
13781,madisett,3,6,3,8,4
13782,madison,1,5,2,8,3
13783,madl,10,2,1,9,7
13784,madlin,8,1,1,1,7
13785,mado,3,9,1,7,7
13786,madonna,3,3,2,5,5
13787,madras,7,2,3,10,10
13788,madsen,2,5,2,3,9
13789,maduri,2,2,1,9,9
13790,mady,7,6,3,5,3
13791,mae,4,4,2,7,6
13792,maegan,7,3,2,4,9
13793,maennlin,2,2,1,3,6
13794,maeya,3,1,2,4,8
13795,magbee,7,8,2,5,2
13796,magda,2,4,2,1,9
13797,magdale,2,10,3,3,5
13798,magdalen,8,1,1,3,6
13799,magdi,6,6,2,8,2
13800,magdiel,6,7,1,3,6
13801,magdy,5,2,1,7,9
13802,mage,3,7,1,9,1
13803,maged,5,9,1,4,2
13804,magee,5,8,2,7,8
13805,mages,8,10,2,7,1
13806,maggee,10,1,1,10,7
13807,maggi,10,1,1,10,1
13808,maggie,7,3,1,10,8
13809,maggy,10,1,2,3,1
13810,maghsood,6,4,2,3,5
13811,maginley,3,2,1,9,7
13812,magnan,2,10,3,6,10
13813,magnolia,7,2,1,9,7
13814,magnum,9,4,2,4,6
13815,magnusso,6,9,2,5,7
13816,magrath,1,4,3,3,6
13817,magri,3,1,1,9,9
13818,mags,4,3,1,2,2
13819,maguire,9,4,2,8,5
13820,mah,4,1,3,2,6
13821,mahaffee,1,5,3,4,1
13822,mahala,1,9,1,10,7
13823,mahaling,3,4,1,10,2
13824,mahbeer,10,7,3,9,1
13825,mahboob,6,4,3,1,6
13826,mahendra,3,2,2,4,2
13827,maher,2,4,2,5,10
13828,mahesh,4,9,2,2,9
13829,maheu,4,5,3,7,1
13830,maheux,7,10,2,8,3
13831,mahfouz,10,9,3,3,1
13832,mahibur,9,3,2,10,3
13833,mahiger,3,10,2,2,1
13834,mahin,1,7,1,3,9
13835,mahlen,3,1,2,7,4
13836,mahlig,4,6,2,8,5
13837,mahlon,9,3,1,2,10
13838,mahmood,10,5,2,8,2
13839,mahmoud,7,7,1,4,6
13840,mahmud,10,3,2,8,5
13841,mahmut,6,9,3,4,1
13842,mahn,3,10,2,2,2
13843,mahon,6,4,2,10,2
13844,mahonen,2,7,2,6,4
13845,mahoney,3,7,1,2,1
13846,mahoney-,6,3,2,9,1
13847,mahshad,10,1,1,7,10
13848,mai,6,4,3,5,10
13849,maia,3,9,3,6,7
13850,maid,2,3,1,4,1
13851,maidenhe,8,1,2,2,1
13852,maidens,5,6,2,9,7
13853,maidisn,4,2,1,7,2
13854,maidlab,10,7,2,1,8
13855,maidsir,3,5,1,6,5
13856,maidxpm,2,2,3,6,4
13857,maier,3,1,3,1,3
13858,maiga,5,8,3,5,8
13859,maika,4,4,2,5,4
13860,maikawa,6,1,2,10,5
13861,maikhanh,7,2,1,4,4
13862,mail,1,1,3,4,7
13863,mailroom,9,4,1,5,6
13864,mainardi,8,4,2,9,7
13865,maine,6,1,1,2,4
13866,mainoo,2,9,2,10,1
13867,maint,4,8,1,4,2
13868,mainvill,9,5,3,3,7
13869,mainwari,6,10,2,5,1
13870,mair,9,4,2,2,9
13871,maire,1,3,3,5,8
13872,maisie,7,6,2,8,1
13873,maison,6,1,1,3,5
13874,maisonne,4,3,2,9,5
13875,maitilde,8,8,1,9,2
13876,maitland,5,5,1,1,1
13877,maitreya,4,4,3,3,8
13878,majd,9,1,1,10,4
13879,maje,9,1,3,4,8
13880,majeed,7,1,2,10,7
13881,majek,1,7,1,3,6
13882,majella,7,10,1,1,1
13883,majernik,6,6,3,1,5
13884,majid,8,8,1,4,2
13885,majmudar,10,4,1,6,3
13886,major,3,9,1,1,9
13887,majors,3,9,1,3,5
13888,majumdar,5,6,2,3,1
13889,majury,3,9,2,6,3
13890,mak,4,6,2,6,4
13891,makam,2,1,2,7,6
13892,makarand,4,10,1,1,5
13893,makarenk,4,5,2,2,4
13894,makary,6,6,3,8,2
13895,makeda,3,8,2,6,2
13896,makiko,3,7,1,1,3
13897,makinson,2,9,3,10,3
13898,makohoni,6,5,2,8,5
13899,makoid,4,8,1,1,3
13900,makoto,2,7,3,5,3
13901,maksoud,4,6,2,4,4
13902,maksuta,5,1,1,6,4
13903,mal,9,6,2,7,3
13904,mala,8,4,3,8,5
13905,malachi,6,3,2,2,5
13906,malaclyp,1,10,1,3,4
13907,malaher,2,9,1,7,9
13908,malaika,5,7,2,4,2
13909,malaivon,8,3,1,7,4
13910,malam,10,6,3,3,7
13911,malani,3,9,2,1,3
13912,malanie,4,3,3,1,6
13913,malavia,6,5,2,6,3
13914,malaysia,1,6,1,9,5
13915,malchy,6,5,2,2,9
13916,malcolm,1,2,2,5,3
13917,malden,8,10,2,1,9
13918,malec,4,10,2,7,4
13919,malee,7,1,3,3,1
13920,malek,10,8,3,2,1
13921,malena,1,2,1,4,3
13922,maleski,5,6,2,9,1
13923,malethia,7,4,2,10,7
13924,malgorza,2,10,1,5,3
13925,malgosia,6,10,2,4,9
13926,malhi,7,10,2,3,8
13927,malhotra,7,2,1,7,2
13928,malia,8,8,1,2,1
13929,maliepaa,4,8,1,8,3
13930,malik,9,7,1,6,5
13931,malina,3,7,2,3,3
13932,malisic,3,1,3,7,7
13933,maliski,2,8,3,3,8
13934,malissa,10,9,1,9,1
13935,malkani,5,5,2,10,2
13936,malkiewi,3,8,3,1,3
13937,malkinso,6,2,1,3,6
13938,mallari,10,3,1,3,9
13939,malle,5,9,2,1,4
13940,mallejac,1,9,3,9,4
13941,maller,10,1,1,3,5
13942,mallett,1,2,1,2,3
13943,mallik,2,9,2,5,4
13944,mallissa,1,6,2,2,5
13945,mallorie,9,6,3,4,2
13946,mallory,1,10,1,8,1
13947,malloy,4,7,2,5,7
13948,mallozzi,6,7,2,2,3
13949,malmqvis,3,1,2,9,10
13950,malone,2,1,3,5,6
13951,maloney,3,1,1,7,10
13952,malorie,1,3,3,9,7
13953,malory,1,10,3,3,10
13954,malta,3,10,2,6,2
13955,maltby,2,6,2,8,10
13956,maltese,5,5,2,3,1
13957,maludzin,6,10,2,8,2
13958,malus,10,2,3,3,3
13959,malva,6,4,3,2,7
13960,malvina,4,7,2,9,2
13961,malynda,5,1,2,5,2
13962,malynne,3,2,2,4,8
13963,malynows,4,5,1,2,10
13964,malyszka,4,4,1,5,8
13965,malzahn,9,8,1,4,6
13966,mame,8,4,3,1,1
13967,mami,8,7,1,3,8
13968,mamikuni,6,7,1,3,3
13969,mamoru,2,2,1,6,7
13970,mamoulid,10,4,3,1,1
13971,man,2,8,2,10,7
13972,manager,3,4,1,4,1
13973,manahil,5,3,3,3,9
13974,manalac,4,3,1,5,5
13975,manami,6,9,3,1,5
13976,manas,8,1,1,9,10
13977,manceau,8,10,1,5,1
13978,manchest,3,9,1,10,4
13979,mancini,3,10,2,8,1
13980,mand,1,4,2,7,4
13981,manda,4,5,2,7,4
13982,mandana,4,4,1,5,10
13983,mandayam,9,1,3,7,7
13984,mandel,9,10,3,3,1
13985,mandevil,9,6,2,1,10
13986,mandie,7,7,3,7,5
13987,mandrusi,9,9,3,6,5
13988,mandruso,6,3,1,2,3
13989,mandy,7,10,2,9,1
13990,maneatis,2,5,1,8,8
13991,manek,6,3,2,2,5
13992,maness,3,1,2,4,7
13993,manette,9,4,1,10,3
13994,manfred,9,2,1,7,3
13995,manfredo,8,10,3,1,8
13996,mangione,5,5,3,7,6
13997,mangum,9,2,3,8,5
13998,manh,1,1,1,5,3
13999,manhatte,6,2,2,10,5
14000,mani,7,6,1,8,5
14001,manica,10,1,2,4,1
14002,manickam,5,2,1,5,4
14003,manijeh,3,9,1,8,10
14004,manilal,3,6,3,1,5
14005,manimozh,5,7,2,4,9
14006,maninder,5,8,2,10,2
14007,manish,4,4,3,5,3
14008,manitius,6,2,3,4,1
14009,manitsas,7,6,2,1,10
14010,manjari,1,5,1,2,6
14011,manjeri,1,1,2,1,1
14012,manjinde,4,6,1,4,10
14013,manjit,4,2,1,9,7
14014,manjrike,8,2,2,4,5
14015,manley,9,9,2,9,1
14016,manli,8,10,1,1,1
14017,manly,1,8,1,4,9
14018,mann,9,1,2,1,8
14019,manna,8,5,3,7,1
14020,manner,8,6,2,3,3
14021,mannie,3,6,3,6,3
14022,manning,6,9,1,4,3
14023,mannino,8,10,3,3,8
14024,mannion,2,2,1,3,6
14025,manno,4,2,3,8,1
14026,manny,3,4,1,4,2
14027,mano,3,6,3,7,4
14028,manoel,4,7,3,5,4
14029,manoharm,8,2,1,4,1
14030,manoj,2,7,3,2,6
14031,manol,8,7,3,8,5
14032,manolios,1,8,2,9,9
14033,manolis,5,3,2,10,4
14034,manolo,2,2,2,5,9
14035,manon,9,3,3,1,4
14036,manou,10,9,2,4,5
14037,manouch,1,6,1,4,8
14038,manoukia,10,6,2,10,3
14039,mansell,6,9,2,5,2
14040,manshih,10,8,2,5,6
14041,mansi,7,2,1,4,10
14042,manson,7,2,2,2,1
14043,mansour,1,3,1,2,10
14044,mansoura,3,6,3,8,1
14045,mansukha,5,7,2,7,5
14046,mantell,2,10,3,4,2
14047,manto,4,9,2,3,6
14048,manuel,5,10,1,3,3
14049,manuela,3,8,2,5,1
14050,manus,6,8,1,2,5
14051,manuszak,9,9,2,2,5
14052,manverse,3,1,1,8,9
14053,manwarin,4,9,1,6,1
14054,manya,8,1,2,7,1
14055,mao,6,7,3,6,6
14056,maohua,4,9,2,2,6
14057,mapes,10,1,2,8,2
14058,mar,9,1,3,8,7
14059,mara,8,5,2,10,4
14060,marabel,6,2,3,8,9
14061,maracle,1,7,2,9,3
14062,maragoud,7,9,3,2,10
14063,marano,6,4,1,5,1
14064,marasco,2,6,1,3,6
14065,marasliy,1,1,1,5,7
14066,marc,2,7,1,3,5
14067,marc-and,7,9,2,4,3
14068,marc-ant,1,2,1,7,7
14069,marcanti,1,4,3,6,4
14070,marcanto,9,8,2,7,4
14071,marce,10,5,3,6,6
14072,marceau,5,7,1,7,4
14073,marcel,4,7,1,2,3
14074,marcela,3,5,2,5,10
14075,marcelia,10,8,3,9,1
14076,marcelis,8,1,3,2,3
14077,marcella,2,1,3,10,9
14078,marcelle,7,7,2,6,1
14079,marcelli,5,3,1,7,9
14080,marcello,5,8,1,7,4
14081,marcellu,4,7,1,9,10
14082,marcelo,6,2,2,6,2
14083,march,7,5,1,5,2
14084,marchall,7,2,2,10,7
14085,marchand,7,5,1,9,9
14086,marchant,2,4,3,3,4
14087,marcheck,1,3,2,2,7
14088,marchell,6,5,3,4,3
14089,marchese,9,1,1,6,7
14090,marchett,2,8,2,4,3
14091,marci,2,7,1,5,8
14092,marcie,8,7,3,7,5
14093,marcile,2,1,3,7,4
14094,marcilie,6,1,1,4,7
14095,marcille,9,6,1,2,5
14096,marciniu,8,9,1,7,3
14097,marcio,3,4,1,1,9
14098,marco,3,7,3,1,8
14099,marcom,8,6,1,10,3
14100,marconi,5,3,2,9,5
14101,marcos,1,2,3,9,6
14102,marcotte,3,4,1,5,10
14103,marcum,8,8,2,2,6
14104,marcus,4,8,1,5,4
14105,marcy,9,2,3,1,9
14106,mardi,10,4,2,6,2
14107,marea,7,5,2,2,10
14108,mareah,8,4,3,5,9
14109,marek,8,6,2,7,2
14110,maren,2,9,3,1,2
14111,marena,3,4,2,8,7
14112,marenger,6,10,1,1,6
14113,maressa,4,8,1,3,10
14114,marette,2,1,2,7,2
14115,marg,5,7,2,9,4
14116,marga,1,1,3,3,1
14117,margalit,10,4,3,6,1
14118,margalo,5,7,3,6,1
14119,margarie,7,6,1,1,9
14120,margarit,8,4,3,4,9
14121,marge,10,10,3,2,5
14122,margeaux,2,10,2,6,8
14123,margery,1,4,1,7,9
14124,marget,10,7,2,7,1
14125,margetso,3,2,3,5,10
14126,margette,2,2,3,1,8
14127,margheri,8,9,1,8,4
14128,margheti,4,6,3,6,4
14129,margi,4,4,3,10,2
14130,margie,8,2,1,3,6
14131,margit,2,3,2,6,2
14132,margitta,5,8,3,2,4
14133,margo,4,5,3,6,6
14134,margot,4,2,3,6,6
14135,margret,6,3,2,3,2
14136,margriet,2,8,1,3,9
14137,margueri,1,5,3,4,5
14138,marhta,3,1,3,5,9
14139,mari,10,2,2,1,3
14140,maria,1,9,2,1,10
14141,mariabel,10,6,2,2,3
14142,mariaele,3,1,1,7,5
14143,mariaisa,2,3,2,2,6
14144,mariam,6,8,2,10,3
14145,marian,8,3,3,5,6
14146,mariana,6,4,3,9,3
14147,mariani,2,1,3,2,5
14148,mariann,1,9,3,5,3
14149,marianna,2,8,2,8,8
14150,marianne,3,7,1,6,2
14151,maribell,1,9,3,7,4
14152,maridel,8,7,3,3,8
14153,marie,7,4,1,5,3
14154,marie-an,2,9,3,2,2
14155,marie-je,6,6,1,10,4
14156,marie-jo,5,10,1,7,4
14157,marie-lu,6,6,3,2,7
14158,marie-na,7,1,2,8,4
14159,marieann,1,9,1,7,3
14160,mariejea,3,8,3,9,8
14161,marieka,5,8,3,1,7
14162,marieke,4,8,3,9,6
14163,mariel,2,8,1,1,1
14164,mariela,5,8,1,4,5
14165,mariele,2,7,1,9,7
14166,mariesar,7,5,2,3,7
14167,mariet,9,9,1,6,1
14168,marietta,4,5,1,1,6
14169,mariette,9,4,3,9,3
14170,marigold,7,9,1,9,1
14171,marijke,1,7,2,10,5
14172,marijn,10,9,2,1,3
14173,marijo,2,7,1,2,10
14174,marika,5,2,2,9,4
14175,mariland,7,5,3,1,9
14176,marilee,4,3,1,6,5
14177,marilin,9,4,2,6,5
14178,marillin,6,1,2,3,6
14179,marily,2,5,1,7,8
14180,marilyn,5,8,3,5,8
14181,marin,3,8,3,4,6
14182,marina,9,6,1,9,3
14183,marinaro,4,6,3,9,1
14184,marineau,9,6,1,9,6
14185,marinna,6,5,1,8,5
14186,marino,8,4,1,7,10
14187,marinos,7,1,2,2,1
14188,mario,6,6,2,3,7
14189,marion,9,1,2,1,3
14190,mariotti,6,3,3,2,7
14191,mariou,7,4,1,5,8
14192,mariquil,10,4,3,4,1
14193,marisa,3,8,2,1,2
14194,marisca,6,8,2,5,7
14195,marisela,1,2,3,2,1
14196,marissa,2,8,2,2,2
14197,marit,5,2,1,10,1
14198,marita,8,4,2,1,2
14199,maritan,6,2,3,9,1
14200,maritsa,5,2,3,9,6
14201,maritza,7,4,2,5,4
14202,marius,4,7,1,3,2
14203,mariza,5,6,2,9,1
14204,marj,9,2,3,5,3
14205,marja,3,1,3,3,3
14206,marjan,5,4,1,6,6
14207,marje,7,2,1,1,8
14208,marjean,7,9,1,9,2
14209,marjet,6,8,3,3,2
14210,marjie,9,4,1,8,2
14211,marjo,1,1,3,6,1
14212,marjolei,3,9,3,1,9
14213,marjorie,7,2,1,10,3
14214,marjory,3,3,3,3,1
14215,marjy,1,7,3,5,5
14216,mark,8,3,1,8,1
14217,markell,7,6,3,10,3
14218,markes,2,4,1,1,2
14219,marketa,2,3,3,5,7
14220,marketin,7,7,2,6,4
14221,markham,2,1,2,4,9
14222,markiewi,3,7,2,7,3
14223,markins,9,1,3,7,7
14224,markle,8,4,2,2,7
14225,markm,8,1,2,7,7
14226,markmeye,5,7,1,5,8
14227,marko,2,5,3,2,1
14228,markos,5,7,2,7,4
14229,markovic,1,2,3,9,5
14230,marks,7,7,1,5,9
14231,marla,8,4,1,1,3
14232,marlaine,2,10,1,8,4
14233,marlane,3,4,2,7,10
14234,marlee-j,1,4,2,7,5
14235,marleen,4,3,3,2,7
14236,marlena,8,6,3,8,4
14237,marley,9,8,2,7,3
14238,marlie,3,2,2,6,1
